specification,term,estimate,se_cluster,p_cluster,ci95_lo,ci95_hi,N,G,weight,cluster,estimator,dropped_economy
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017558000447597092,0.004939211545614308,0.00037824012978285304,-0.027238855077001134,-0.007877145818193048,95713,92,w_equal,economy,WLS LPM,ALB
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.018026883572933156,0.005101084252839986,0.0004094267953097239,-0.028025008708499527,-0.008028758437366786,95712,92,w_equal,economy,WLS LPM,ARG
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.016676619721447575,0.004992499817924935,0.0008367751715970441,-0.02646191936458045,-0.006891320078314703,95726,92,w_equal,economy,WLS LPM,ARM
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.0173799347761052,0.004941017630915569,0.00043566382470221936,-0.027064329332699713,-0.007695540219510686,95712,92,w_equal,economy,WLS LPM,AZE
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017253960366654206,0.00504430794374216,0.0006251046172666897,-0.02714080393638884,-0.007367116796919572,95712,92,w_equal,economy,WLS LPM,BEN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017586587854375387,0.005034408874320258,0.0004771301941630463,-0.02745402924804309,-0.007719146460707682,95716,92,w_equal,economy,WLS LPM,BFA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017376024342119267,0.005033235946834637,0.0005559178280663354,-0.027241166797915155,-0.007510881886323378,95712,92,w_equal,economy,WLS LPM,BGD
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01747041609777431,0.0049971084492641885,0.0004721027953718139,-0.027264748658332116,-0.007676083537216499,95732,92,w_equal,economy,WLS LPM,BGR
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01736394919465444,0.0049382061847234975,0.000437694750852877,-0.027042833316712492,-0.007685065072596383,95718,92,w_equal,economy,WLS LPM,BIH
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017710287174675977,0.004925569657499336,0.00032366776590517894,-0.027364403703374673,-0.008056170645977278,95718,92,w_equal,economy,WLS LPM,BOL
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01720554415399665,0.005004282064887811,0.0005856721326752694,-0.02701393700117676,-0.007397151306816539,95733,92,w_equal,economy,WLS LPM,BRA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017734231532960235,0.004924083374634633,0.0003163505171749126,-0.027385434947244117,-0.008083028118676354,95717,92,w_equal,economy,WLS LPM,BWA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017396581615549366,0.005043818044061596,0.0005624795094713035,-0.027282464981910094,-0.007510698249188638,93281,92,w_equal,economy,WLS LPM,CHN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.016955147879047384,0.0049302412306255336,0.0005838461110846614,-0.02661842069107343,-0.007291875067021338,95716,92,w_equal,economy,WLS LPM,CIV
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017429192450434203,0.004932598296781376,0.00041014126684774116,-0.0270970851121257,-0.007761299788742706,95722,92,w_equal,economy,WLS LPM,CMR
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.016905557502121298,0.004991751983324433,0.0007073915656938283,-0.026689391389437187,-0.007121723614805408,95716,92,w_equal,economy,WLS LPM,COD
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.016965541188993283,0.004965210248853915,0.0006334255669615133,-0.02669735327674696,-0.00723372910123961,95732,92,w_equal,economy,WLS LPM,COG
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017229265401487465,0.005038219769728165,0.0006268724566276545,-0.027104176150154667,-0.007354354652820262,95720,92,w_equal,economy,WLS LPM,COL
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01775709839965657,0.0049648864839545994,0.0003481765408753384,-0.027488275908207585,-0.008025920891105556,95728,92,w_equal,economy,WLS LPM,COM
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017893083099310376,0.005029972892506684,0.0003746973602386155,-0.02775182996862348,-0.008034336229997276,95719,92,w_equal,economy,WLS LPM,CRI
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.015566031464733612,0.004793753190330454,0.001165672966495919,-0.024961787717781302,-0.006170275211685922,95761,92,w_equal,economy,WLS LPM,DOM
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01693999956701208,0.00499953183991077,0.000703228946751738,-0.02673908197323719,-0.007140917160786971,95716,92,w_equal,economy,WLS LPM,DZA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01698925113733419,0.005014550942427079,0.0007040669355492325,-0.026817770984491264,-0.007160731290177115,95719,92,w_equal,economy,WLS LPM,ECU
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01721873063391783,0.004932800824457067,0.0004818289672388897,-0.02688702024985368,-0.0075504410179819785,95710,92,w_equal,economy,WLS LPM,EGY
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01675965097463145,0.004959800907064761,0.0007272420458187485,-0.02648086075247838,-0.007038441196784517,95713,92,w_equal,economy,WLS LPM,ETH
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017079171018661278,0.004924704601530657,0.0005242302365183132,-0.026731592037661366,-0.0074267499996611905,95709,92,w_equal,economy,WLS LPM,GAB
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017211325950129898,0.005145130392864623,0.000822327204854194,-0.027295781520144557,-0.007126870380115237,95712,92,w_equal,economy,WLS LPM,GEO
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017399190434456452,0.004934131114216341,0.00042142096562821014,-0.027070087418320482,-0.007728293450592423,95721,92,w_equal,economy,WLS LPM,GHA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017913522711047423,0.0050041803823157645,0.0003439735828117431,-0.027721716260386324,-0.008105329161708525,95720,92,w_equal,economy,WLS LPM,GIN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01729810547410194,0.005016854532852859,0.00056475776969566,-0.027131140358493545,-0.007465070589710335,95719,92,w_equal,economy,WLS LPM,GMB
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017453140549871987,0.004935842270001483,0.00040623398220348243,-0.027127391399074892,-0.007778889700669081,95717,92,w_equal,economy,WLS LPM,GTM
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017440914219867796,0.00493497578214671,0.00040909838974907263,-0.027113466752875348,-0.007768361686860245,95722,92,w_equal,economy,WLS LPM,HND
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01740384166624157,0.004970442066981077,0.0004627032942033521,-0.02714590811752448,-0.007661775214958658,95727,92,w_equal,economy,WLS LPM,HRV
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017503336080515797,0.004940569194436727,0.0003959370034259104,-0.02718685170161178,-0.007819820459419813,95650,92,w_equal,economy,WLS LPM,IDN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01793743491452714,0.004922043307839344,0.0002681136547398088,-0.027584639797892253,-0.008290230031162025,93737,92,w_equal,economy,WLS LPM,IND
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017318208821746645,0.004945557655290606,0.0004621772228969256,-0.02701150182611623,-0.007624915817377056,95706,92,w_equal,economy,WLS LPM,IRN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01726294552407068,0.004987610374260768,0.0005378418256740722,-0.027038661857621785,-0.007487229190519576,95701,92,w_equal,economy,WLS LPM,IRQ
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017662437876383795,0.004955895749424245,0.0003653511951154306,-0.027375993545255314,-0.007948882207512276,95703,92,w_equal,economy,WLS LPM,JOR
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.016868467024508258,0.004935241474506266,0.0006309195238941569,-0.02654154031454054,-0.007195393734475978,95739,92,w_equal,economy,WLS LPM,KAZ
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017471904940717282,0.0049357846321439955,0.00040036443633454895,-0.027146042819719513,-0.00779776706171505,95717,92,w_equal,economy,WLS LPM,KEN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017380836492637688,0.004934291966337788,0.00042756469157798245,-0.02705204874665975,-0.007709624238615624,95715,92,w_equal,economy,WLS LPM,KGZ
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01758520577686521,0.004931672017338753,0.00036279010088990633,-0.027251282930849163,-0.007919128622881256,95721,92,w_equal,economy,WLS LPM,KHM
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017410953180457166,0.004957888851712917,0.0004451371549231191,-0.027128415329814484,-0.007693491031099849,95715,92,w_equal,economy,WLS LPM,LAO
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017230412799615128,0.00494310875243698,0.0004907700036407874,-0.026918905954391607,-0.007541919644838647,95693,92,w_equal,economy,WLS LPM,LBN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017902572268417523,0.005019846692724403,0.0003619762929881192,-0.02774147178615735,-0.008063672750677695,95736,92,w_equal,economy,WLS LPM,LBR
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017230682515400796,0.004940692520312351,0.00048755252037101276,-0.026914439855213003,-0.0075469251755885865,95710,92,w_equal,economy,WLS LPM,LKA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01729251070056182,0.004935840360380939,0.00045925861793560214,-0.02696675780690846,-0.007618263594215181,95715,92,w_equal,economy,WLS LPM,MAR
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01694995582303964,0.0049432608726585996,0.0006060288837953895,-0.026638747133450495,-0.007261164512628784,95724,92,w_equal,economy,WLS LPM,MDA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017787715167471106,0.00497401020756467,0.00034871613258243494,-0.02753677517429786,-0.008038655160644352,95717,92,w_equal,economy,WLS LPM,MDG
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01791362193573604,0.005130005117794233,0.0004795427959769414,-0.027968431966612736,-0.007858811904859342,95713,92,w_equal,economy,WLS LPM,MEX
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.018218462541051583,0.005037070007254925,0.0002981789330723712,-0.028091119755271236,-0.00834580532683193,95712,92,w_equal,economy,WLS LPM,MKD
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.018106854013510042,0.004991440232882948,0.00028608897950895283,-0.02789007686996062,-0.008323631157059464,95717,92,w_equal,economy,WLS LPM,MLI
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017385760801638762,0.004933666660588186,0.00042524052358723413,-0.027055747456391607,-0.007715774146885918,95711,92,w_equal,economy,WLS LPM,MNG
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01740278695805259,0.0050143759366915765,0.0005193378831673434,-0.027230963793968076,-0.0075746101221371,95766,92,w_equal,economy,WLS LPM,MOZ
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.018692011572399823,0.004825054185530131,0.00010708603843717747,-0.02814911777603888,-0.009234905368760767,95729,92,w_equal,economy,WLS LPM,MRT
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01790713553201379,0.005047925821177763,0.00038901729105873307,-0.0278010701415222,-0.008013200922505374,95713,92,w_equal,economy,WLS LPM,MUS
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01741339924837204,0.004927942362788907,0.0004099340183481623,-0.0270721662794383,-0.007754632217305784,95716,92,w_equal,economy,WLS LPM,MWI
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01850505885583492,0.004902538394407811,0.00016027281530054438,-0.028114034108874232,-0.008896083602795613,95730,92,w_equal,economy,WLS LPM,MYS
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017240027356265186,0.004958168344345397,0.0005068762801563279,-0.02695803731118216,-0.007522017401348209,95720,92,w_equal,economy,WLS LPM,NAM
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.0173445229245386,0.004963885129314921,0.0004755867599175059,-0.027073737777995845,-0.007615308071081354,95724,92,w_equal,economy,WLS LPM,NER
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017187149648403566,0.004972334763445152,0.0005471271096330217,-0.026932925784756062,-0.007441373512051068,95720,92,w_equal,economy,WLS LPM,NGA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01737480222585388,0.004941160545861034,0.0004375397010218795,-0.027059476895741508,-0.007690127555966252,95717,92,w_equal,economy,WLS LPM,NIC
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01748885507903653,0.0050040442981305186,0.00047416105810032903,-0.027296781903372345,-0.007680928254700712,95711,92,w_equal,economy,WLS LPM,NPL
