section,item,details
estimate,primary_trim_1_99,"{""estimate"": -0.018639641772808115, ""se"": 0.004541607960178969, ""p"": 8.516635077272442e-05, ""ci95"": [-0.027654662322887755, -0.009624621222728473], ""N"": 100560, ""G"": 97, ""C"": {""estimate_pp"": -2.9070334265513007, ""ci95_cluster_score_percentile"": [-4.2978633262083585, -1.543683335619686], ""wild_p"": 0.001, ""B"": 999, ""seed"": 20260943, ""method"": ""Rademacher one-step cluster-score bootstrap by economy"", ""native_estimate"": -0.018639641772789855, ""native_se_cluster_score"": 0.004541607960695882}}"
estimate,untrimmed,"{""estimate"": -0.018729118602526407, ""se"": 0.004040696222287853, ""p"": 1.123604061306058e-05, ""ci95"": [-0.026749837211430448, -0.010708399993622367], ""N"": 100560, ""G"": 97}"
estimate,trim_5_95,"{""estimate"": -0.019696067868812107, ""se"": 0.004520406025002385, ""p"": 3.303527475617141e-05, ""ci95"": [-0.028669002910192132, -0.010723132827432081], ""N"": 100560, ""G"": 97}"
estimate,inverse_odds,"{""estimate"": -0.00468131557572755, ""se"": 0.010252205460187857, ""p"": 0.6489789152022263, ""ci95"": [-0.02503178257279309, 0.015669151421337988], ""N"": 100560, ""G"": 97}"
estimate,crump_0_1_0_9,"{""estimate"": -0.006403970975195837, ""se"": 0.014124163545307501, ""p"": 0.6599366732194567, ""ci95"": [-0.03787456852200233, 0.025066626571610656], ""N"": 10800, ""G"": 11}"
estimate,entropy_balancing,"{""estimate"": -0.01984818154558111, ""se"": 0.005147787740154333, ""p"": 0.0002087369630425806, ""ci95"": [-0.030066459448879174, -0.009629903642283047], ""N"": 100560, ""G"": 97}"
frame,all,"{""N"": 139, ""included"": 97, ""excluded"": 42, ""dropped"": [""TWN""]}"
inclusion_logit,all,"{""rhs"": ""any_cov_2019 + lgdppc + privcredit_gdp + C(region, Treatment(reference='Sub-Saharan Africa (excluding high income)')) + log_pop_adult"", ""coefficients"": {""Intercept"": 6.1088609194727885, ""C(region, Treatment(reference='Sub-Saharan Africa (excluding high income)'))[T.East Asia & Pacific (excluding high income)]"": 23.063262931476235, ""C(region, Treatment(reference='Sub-Saharan Africa (excluding high income)'))[T.Europe & Central Asia (excluding high income)]"": 0.7932611478011047, ""C(region, Treatment(reference='Sub-Saharan Africa (excluding high income)'))[T.High income]"": -2.7463759759054995, ""C(region, Treatment(reference='Sub-Saharan Africa (excluding high income)'))[T.Latin America & Caribbean (excluding high income)]"": 21.331068466201838, ""C(region, Treatment(reference='Sub-Saharan Africa (excluding high income)'))[T.Middle East & North Africa (excluding high income)]"": 20.295722714633563, ""C(region, Treatment(reference='Sub-Saharan Africa (excluding high income)'))[T.South Asia]"": 19.510771046206138, ""any_cov_2019"": -0.025127244536507234, ""lgdppc"": -0.4618493663301613, ""privcredit_gdp"": -0.02639161749452817, ""log_pop_adult"": 0.20188840472367864}, ""c_stat"": 0.9823269513991163, ""cv5_c_stat_mean"": 0.9569919590643273, ""cv5_folds"": [1.0, 0.8843749999999999, 1.0, 0.9005847953216374, 1.0]}"
overlap,all,"{""included_minmax"": [0.06130405986685797, 0.9999999999990885], ""excluded_minmax"": [0.0005289569125459921, 0.9916599554495397], ""common_support"": [0.06130405986685797, 0.9916599554495397], ""outside_count"": 81, ""max_ipw_before"": 16.31213335906024, ""max_ipw_after"": 4.811820873094364, ""kish_ess_primary"": 77.42897708068705}"
smd_before,all,"{""any_cov_2019"": -1.2217664106760624, ""lgdppc"": -2.5635719751424317, ""privcredit_gdp"": -1.1586465824440744, ""pop_adult"": 0.1959021110353516, ""region_East Asia & Pacific (excluding high income)"": 0.4522670168666454, ""region_Europe & Central Asia (excluding high income)"": 0.5228805110024425, ""region_High income"": -3.9168852176251034, ""region_Latin America & Caribbean (excluding high income)"": 0.6285393610547088, ""region_Middle East & North Africa (excluding high income)"": 0.47946330148538413, ""region_South Asia"": 0.3296902366978935, ""region_Sub-Saharan Africa (excluding high income)"": 0.9224106127766081}"
smd_after_primary,all,"{""any_cov_2019"": -1.0799447207049506, ""lgdppc"": -2.199156049444843, ""privcredit_gdp"": -1.1025943257114177, ""pop_adult"": 0.16827175910715633, ""region_East Asia & Pacific (excluding high income)"": 0.41844756618358275, ""region_Europe & Central Asia (excluding high income)"": 0.48800783290320543, ""region_High income"": -2.6059986453412387, ""region_Latin America & Caribbean (excluding high income)"": 0.5779545463000094, ""region_Middle East & North Africa (excluding high income)"": 0.4432435995482732, ""region_South Asia"": 0.3059959469108011, ""region_Sub-Saharan Africa (excluding high income)"": 0.8457679345253452}"
entropy,all,"{""status"": ""ENTROPY_BALANCING_UNSTABLE"", ""solver"": ""scipy.optimize.least_squares exponential-tilting dual"", ""scipy"": ""1.16.0"", ""iterations"": 7, ""max_standardized_imbalance"": 3.4644636429076105e-16, ""max_over_mean"": 9.581816464722271, ""kish_ess"": 35.610080210211635}"
