stratum_type,stratum,N_outcome_valid,missing_educ,missing_inc_q,missing_urbanicity,missing_any_control,missing_any_rate,mean_coverage
coverage_quartile,Q1 lowest,26498,105,0,3,108,0.0040757793040984225,4.8619141067250355
coverage_quartile,Q2,25011,93,1013,206,1295,0.051777218024069406,28.045092159449844
coverage_quartile,Q3,27140,72,0,108,178,0.006558585114222549,54.39999263080325
coverage_quartile,Q4 highest,23995,129,0,378,503,0.02096270056261721,90.36947697436966
region,East Asia & Pacific (excluding high income),12072,21,0,378,395,0.032720344599072235,65.29659542743539
region,Europe & Central Asia (excluding high income),16918,27,0,90,116,0.006856602435276037,61.505591677503254
region,High income,5929,27,0,26,51,0.008601787822567044,53.94356552538371
region,Latin America & Caribbean (excluding high income),15656,108,0,198,305,0.019481349003576905,69.65905723045479
region,Middle East & North Africa (excluding high income),10028,26,0,3,29,0.0028919026725169527,23.289888312724372
region,South Asia,6997,2,0,0,2,0.0002858367871945119,37.468186365585254
region,Sub-Saharan Africa (excluding high income),35044,188,1013,0,1186,0.033843168588060725,21.120779591370848
