quantity,kind,mine,target,status
Q1_S1,wild_p,0.001,0.001,EXACT_MATCH
Q1_S1,C_pp,-3.079920007897776,-3.079920007901468,EXACT_MATCH
Q1_S1,C_ci95,"[-4.4273,-1.7511]","[-4.4351,-1.7435]",CONSISTENT
Q4_row1_full_reference,wild_p,0.001,0.001,EXACT_MATCH
Q4_row1_full_reference,C_pp,-3.079920007897776,-3.079920007901468,EXACT_MATCH
Q4_row1_full_reference,C_ci95,"[-4.4273,-1.7511]","[-4.5324,-1.6934]",CONSISTENT
Q4_row2_q4_baseline,wild_p,0.001,0.001,EXACT_MATCH
Q4_row2_q4_baseline,C_pp,-3.079920007897776,-3.079920007901468,EXACT_MATCH
Q4_row2_q4_baseline,C_ci95,"[-4.4273,-1.7511]","[-4.5134,-1.5841]",CONSISTENT
Q1_S2,wild_p,0.001,0.003,EXACT_MATCH
Q1_S3,wild_p,0.001,0.006,EXACT_MATCH
Q2_formal,wild_p,0.001,0.001,EXACT_MATCH
Q2_any,wild_p,0.69,0.691,EXACT_MATCH
Q3_acc_L,wild_p,0.163,0.165,EXACT_MATCH
Q3_dig_L,wild_p,0.861,0.868,EXACT_MATCH
Q3_difference,wild_p,0.318,0.321,EXACT_MATCH
Q4_row3_mean1519,wild_p,0.001,0.001,EXACT_MATCH
Q4_row3_mean1519,C_pp,-3.1481837858149007,-3.1481837858239747,EXACT_MATCH
Q4_row3_mean1519,C_ci95,"[-4.5518,-1.7073]","[-4.5599,-1.6990]",CONSISTENT
Q4_row4_persistent,wild_p,0.001,0.001,EXACT_MATCH
Q4_row4_persistent,C_pp,-3.807223118087256,-3.8072231180190292,EXACT_MATCH
Q4_row4_persistent,C_ci95,"[-5.6550,-1.9144]","[-5.6656,-1.9036]",CONSISTENT
Q5_primary,wild_p,0.001,0.001,EXACT_MATCH
Q5_primary,C_pp,-2.9070334265581796,-2.9070334265513007,EXACT_MATCH
Q5_primary,C_ci95,"[-4.2899,-1.5515]","[-4.2979,-1.5437]",CONSISTENT
