specification,term,estimate,se_cluster,p_cluster,ci95_lo,ci95_hi,N,G,weight,cluster,estimator
PRIMARY_M1_M2_2021,digital_payment,0.09072535836342584,0.0046623150469346794,2.431115250083853e-84,0.08158722087143387,0.0998634958554178,96711,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2021,dig_x_lowcov,-0.017436464934002496,0.004932309490336351,0.00040754028933183477,-0.027103791535061744,-0.007769138332943248,96711,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2021_SPECB,digital_payment,0.04193241845147248,0.005887026656440642,1.0571647105032613e-12,0.030393846204848817,0.05347099069809613,96711,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2021_SPECB,dig_x_lowcov,-0.01632854371084795,0.004953997354445454,0.0009806014725460672,-0.02603837852556104,-0.006618708896134862,96711,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2021_SPECB,account_fin,0.07844248669415481,0.007631373471226499,8.767989686833263e-25,0.06348499469055087,0.09339997869775875,96711,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2021_SPECB,acc_x_lowcov,0.007240907470114979,0.007303389991836116,0.32146847112076105,-0.007073736913883809,0.021555551854113765,96711,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2024,digital_payment,0.08129020424748726,0.005680424531584065,1.8792290153027575e-46,0.07015657216558249,0.09242383632939202,97847,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2024,dig_x_lowcov,-0.016085234304462702,0.005981885869887102,0.00716684577569927,-0.02780973060944142,-0.004360737999483983,97847,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2024_SPECB,digital_payment,0.039926930754180336,0.0049825413742919464,1.1161029203457883e-15,0.03016114966056812,0.04969271184779255,97847,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2024_SPECB,dig_x_lowcov,-0.02187815857629783,0.004869673507428408,7.031385441205972e-06,-0.03142271865085751,-0.01233359850173815,97847,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2024_SPECB,account_fin,0.07796509432299578,0.006550417899915843,1.1511800662048488e-32,0.06512627523916073,0.09080391340683083,97847,93,w_equal,economy,WLS LPM
PRIMARY_M1_M2_2024_SPECB,acc_x_lowcov,0.02011891715810124,0.006516001275622608,0.002017682400873174,0.0073475546578809295,0.03289027965832155,97847,93,w_equal,economy,WLS LPM
SECONDARY_POOLED_2021_2024,digital_payment,0.096476283837353,0.005355683638691505,1.5180214926259306e-72,0.08597914390551765,0.10697342376918835,194558,93,w_equal,economy,WLS LPM
SECONDARY_POOLED_2021_2024,dig_x_lowcov,-0.019841191631476265,0.00551132365722308,0.0003181224957279491,-0.030643385999633503,-0.009038997263319028,194558,93,w_equal,economy,WLS LPM
SECONDARY_POOLED_2021_2024,dig_x_wave,-0.021137734101451672,0.006170065368739367,0.0006128730188758876,-0.03323106222418083,-0.009044405978722513,194558,93,w_equal,economy,WLS LPM
SECONDARY_POOLED_2021_2024,dig_x_lowcov_x_wave,0.005835544033056303,0.005586895545944081,0.2962515007960749,-0.005114771236994096,0.016785859303106703,194558,93,w_equal,economy,WLS LPM
SECONDARY_DEPTH_2021,digital_payment,0.08969744190622318,0.004774337776399833,9.573903221125981e-79,0.08033973986447951,0.09905514394796686,96711,93,w_equal,economy,WLS LPM
SECONDARY_DEPTH_2021,digital_payment:lowdepth_z,-0.011096659714546504,0.005567196615612839,0.04623712457853111,-0.022008365081147667,-0.00018495434794533853,96711,93,w_equal,economy,WLS LPM
SECONDARY_DEPTH_2024,digital_payment,0.0805564174621297,0.005802482222475438,8.020345021189173e-44,0.06918355230607784,0.09192928261818156,97847,93,w_equal,economy,WLS LPM
SECONDARY_DEPTH_2024,digital_payment:lowdepth_z,-0.010745236259254635,0.005200319138433853,0.038803485456917794,-0.020937861770584987,-0.0005526107479242835,97847,93,w_equal,economy,WLS LPM
